Row,amygdala,angular gyrus,caudate,cerebellar cortex,cingulate gyrus frontal part,cingulate gyrus parietal part,cingulate gyrus retrosplenial part,claustrum,cuneus,dentate nucleus,epithalamus,fastigial nucleus,frontal operculum,frontal pole,fusiform gyrus,globus pallidus,gyrus rectus,hippocampus,inferior frontal gyrus,inferior temporal gyrus,insula,interposed nucleus,lingual gyrus,medial frontal gyrus,middle temporal gyrus,myelencephalon,nucleus accumbens,occipital pole,occipito-temporal gyrus,orbital gyrus,paracentral lobule,parahippocampal gyrus,parolfactory gyri,planum polare,planum temporale,pontine tegmentum,postcentral gyrus,precentral gyrus,precuneus,putamen,red nucleus,subcallosal cingulate gyrus,substantia nigra,subthalamic nucleus,superior frontal gyrus,superior parietal lobule,superior temporal gyrus,supramarginal gyrus,temporal pole,thalamus,transverse gyri
frontal pole,0.00017632250014741775,0.0034419063667471828,0.00017205371577782498,0.0,0.0,0.0,2.445506977834518e-05,0.0,0.0012991936700439504,0.0,6.348912346301153e-05,0.0,0.0028452894868885013,0.09903688265871467,0.06745196622740393,1.1467835975939974e-05,0.12114343368714803,0.0004967345608379552,0.01682052981402209,0.07400038997877546,0.00023970309519425322,0.0,0.05241151949550204,0.1494952886005731,0.06455512574283179,0.0,7.850222103403705e-05,0.03757843439077393,0.03719717406474733,0.06344310741455286,2.315272878423212e-06,0.00783683693207532,0.0003929090426961642,0.010055989809905243,0.0001489371631323182,0.0,0.00018637946671306858,0.034655221501071,0.004336469925147951,0.00010444051250012209,0.0,6.005239028410207e-06,0.0,0.0,0.17064859837359317,0.003328530347981896,0.01343639674081931,0.001384424652880905,0.012827009683990575,0.021312340078856747,0.0
fusiform gyrus,0.00016957265166024795,0.003634092221487779,0.00010327847398768846,5.828669588125391e-07,0.0,0.0,4.857224656771158e-07,6.938892366815941e-08,0.0019518826672158568,2.9809481607841283e-05,0.00030149487333815263,0.0,0.005466653695563869,0.01708693918657585,0.13520834232498136,1.1657339176250781e-05,0.015727055060527264,0.0009395260264668784,0.1251243969929061,0.1511670037349282,0.0003674143508229041,9.908738299813164e-06,0.09726785276392043,0.04422015939745989,0.09739955294104259,0.0,3.429200607680438e-05,0.09754593581441294,0.055369155318917736,0.05817052494524867,3.483323968141602e-06,0.0038031791506823497,0.00021301011787651575,0.031115131351150835,0.0041934779685310125,0.0,0.0018449543358432232,0.013382458840919093,0.0025615198727795717,0.00025100749247719984,0.0,0.0,0.0,0.0,0.029598872346723683,0.0029677920208566453,0.0434348294371684,0.01499453007114724,0.044530827486506976,0.001776356445904881,8.008869569778959e-05
globus pallidus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004113199582185516,0.0,0.0,0.0,0.036888905726547995,0.0,0.0,0.0,0.05157194581400761,0.010131460023488534,0.0,0.0,0.0,5.4121047134019946e-05,0.003117372314919549,0.14908183643537135,0.0,0.0,0.0,0.06828452516899297,0.08905077095431642,0.0,0.0,0.0,0.0,0.08695628643022985,0.004216029571740154,0.09261193585573493,0.0,0.0,5.412104713401995e-06,0.0,0.0,0.0,0.19518214438412954,0.0,0.003377153341162845,0.0,0.0006927494033154554,0.005141499477731895,0.0
gyrus rectus,0.00019580158654723386,0.0006541717347835773,0.004579523524833498,0.0,0.0,9.886493731898697e-05,0.008151717385598082,0.0,0.02091963594242228,0.0,0.00022532849793669156,0.0,0.0,0.05315856401350027,0.02075520921001813,1.3377498629509413e-05,0.32303734619994273,0.004010196466042486,0.0009574753823895716,0.008208923265623372,0.0002625685616891097,0.0,0.0579991295386177,0.10307137727093083,0.004049887062576886,0.0,0.0015050690274912015,0.04077308926133952,0.041771018520966076,0.11397753367614546,0.0,0.05371375029295918,0.0005796514346101841,0.008576262146909359,0.00016539087644952026,0.0,0.0,3.0531228103384845e-06,0.08930846205928474,0.0001921458737085391,0.0,0.024738931887481497,0.0,0.0,0.12714006835620592,0.06934573908189223,0.012558940334990241,0.0004148631481890201,0.010127288707229867,0.019590282167199772,0.0
hippocampus,0.0020382548247637232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003704617541149504,0.0,0.0,0.0,0.0,0.0,0.33511770027641596,0.0,0.003683162227204623,0.016729781048521193,0.004655803126039242,0.09382945170945214,0.0,0.0,0.0001698545687303103,0.0,0.004108692620444769,0.0,0.0,0.0,0.0,0.013447118014954355,0.0,0.016903211502908983,0.0,0.09167676854364905,0.0,0.0,0.0,0.0,0.0014589613482519283,0.0,0.0,0.00031467793785825907,0.0,0.0,0.11391698939034725,0.0,0.09206475213748565,0.0,0.11549931879378225,0.007192894000021455,0.0
inferior frontal gyrus,0.00012180726922765552,0.001813397001990845,7.46790792987357e-05,2.219289132206113e-07,0.0,0.0,5.548222830515283e-07,7.926032615021833e-08,0.007015363171686284,1.1350078704711264e-05,0.00014835947848797866,0.0,0.003554587846858841,0.02681866662477494,0.04930387002967808,1.891151381944209e-05,0.019006435986039592,6.974908701219212e-06,0.17651103431349136,0.06669593169269003,0.00025058944715653024,3.7727915247503923e-06,0.071709813108431,0.041352489962353405,0.04579374722578951,0.0,3.3035703939411e-05,0.07865376272625593,0.0400715479793745,0.09614653255967434,0.0033801675731326706,0.0012113831207494767,4.026424568431091e-06,0.008735851219363842,0.0011471188483068797,0.0,0.007143812456245327,0.03193629980744655,0.007059606285743336,5.44201399347399e-05,1.0414806856138687e-05,0.0,7.672399571341133e-06,6.245713700637204e-06,0.07213303154594271,0.007486898704019163,0.010496112098703582,0.0011499405159178275,0.011959194311175692,0.0211661530571112,7.402914462430391e-06
inferior temporal gyrus,1.6986918078962728e-06,0.006124768716340207,0.00017828878366354795,0.0,0.0,0.0,0.0,0.0,0.0019301077933198232,0.0,0.00024116499927756362,0.0,0.00868312167264126,0.02706232694731074,0.2208189550765688,0.0,0.019266143966888017,0.0011863515874016449,0.03139802852783022,0.2637377822514919,5.514593695199495e-05,0.0,0.10146837627933958,0.06965626084993232,0.16831256362554797,0.0,5.0936135515034613e-05,0.07780948915339736,0.07064214218528035,0.031979325788236694,6.1792991852458625e-06,0.003290169082120252,0.0003758047890947334,0.04748331053762783,0.005432096358268184,0.0,0.003249474334896302,0.02198914693494574,0.0022619189264622285,0.00015504871023377863,0.0,0.0,0.0,0.0,0.03696562633118045,0.002187595005186303,0.058042354196789214,0.02111203111274678,0.06925874234816275,0.0019508121383986748,0.0
insula,0.00018349251149559764,0.0008515292305355332,2.301091894715309e-05,0.0,0.0,0.0,0.0,1.5653686358607546e-07,0.001557854866408623,0.0,0.0,0.0,9.639540059630526e-05,0.0069919381636810805,0.009091504500215676,2.6298193082460676e-05,0.023784993737586236,5.134409125623275e-06,0.25839922022100625,0.004322702873184039,0.0012205805401260647,0.0,0.12647442854496044,0.022245171917862728,0.0027910522777397253,0.0,2.4576287583013846e-05,0.11337053984993374,0.0794475613716862,0.08095498006064739,0.006761046289891619,0.0009027480923008972,8.3402840918661e-05,0.0068104180166666676,0.0001836177409864665,0.0,0.013692248150501303,0.015474827338274096,0.010889956525956097,0.00031855251739766355,0.0,0.0,0.0,0.0,0.059757728522375285,0.013098472519546602,0.009823063878498841,0.0010486717565358367,0.007488786168703285,0.0,0.0006206060493733548
interposed nucleus,0.0,2.891781755062109e-06,0.0,0.02527760653007697,0.0,0.0,0.0,0.0,0.0018272445964798703,0.3726091516578675,9.109112528445643e-05,0.0,0.0,0.0,0.0,3.4339908341362546e-06,0.0,3.3978435621979785e-05,0.0,0.0,0.0,0.12116059491903101,0.0,0.0,0.0,0.005124237269970058,0.0,0.0018075443332735096,0.0,0.0003471945469671445,0.003951077559213298,1.4458908775310545e-06,0.0,0.0,0.0,0.0011247223663594691,0.002002378129020819,0.0064737956677856055,0.03267948340487782,2.891781755062109e-06,0.02247456632762333,0.0,0.00022537824053515314,0.0022411308601731346,0.006476687449540668,0.05349235964149859,0.0,0.0,0.0,0.02546629528959477,0.0
lingual gyrus,9.434508212545717e-05,0.0024526081696653705,1.4246653349338807e-05,0.0,0.0,0.0,8.813166944207766e-06,1.2998771304141248e-07,0.01265934738784751,0.0,7.804462291006405e-05,0.0,4.8615404677488266e-06,0.004966128581661947,0.06074871778819979,2.1837935790957295e-05,0.014907744860324822,0.0009067942861768934,0.18396456493346422,0.036180858040574575,0.0005129315156614136,0.0,0.18235081947114032,0.018935492141540812,0.015308626967344538,0.0,1.5026579627587282e-05,0.18335440260844785,0.10156423574218071,0.0879171377204741,1.1698894173727123e-06,0.009372114110285839,3.4810709552490264e-05,0.01676313748119273,1.5858500991052323e-06,0.0,0.0009952379261302705,0.0015508054116692674,0.007641613684108124,0.0003328205404712325,0.0,3.889232374199061e-05,0.0,0.0,0.02292785676726693,0.0020924122168276167,0.029051369948307006,0.0001681261080477629,0.026738758545587236,0.0007642497600556806,0.0006711265624328126
