Row,addiction,arithmetic,arousal,attention,aversive,decisionMaking,defaultMode,emotions,eyeMovements,face,food,hearing,heartRate,imagery,language,memory,movement,navigation,pain,planning,pleasant,reading,reward,sleep,sound,spatial,tapping,theoryMind,touch,vision
epithalamus,0.005951437167823315,0.6899876594543457,3.7048826217651367,7.379577935998897e-23,6.315342903137207,0.004589500371366739,6.749940075678751e-05,2.9189202785491943,6.38368510408327e-06,1.106961917685112e-06,0.39527013897895813,6.193708879109749e-10,3.884608507156372,0.0020864626858383417,7.414610703193603e-09,0.7560498118400574,0.002775325207039714,4.164119243621826,7.079272270202637,7.845059144528932e-07,4.598021030426025,2.4722200464566413e-07,6.112936496734619,0.0010335043771192431,1.665404488448985e-05,0.00010617543011903763,0.016982775181531906,4.1402221928610317e-11,6.963652432467882e-10,1.1081445094873743e-08
fastigial nucleus,0.004559135064482689,0.0,0.0,5.147264041381468e-17,1.9521810827427544e-05,1.1124140543901564e-25,0.0,3.769847367607326e-08,1.488108750891115e-06,0.0,2.6801696972889033e-10,0.0,0.0,0.0,0.0,8.267265181900046e-15,0.6517453193664551,0.0,4.331936359405518,0.0,1.918997622851748e-05,0.0,0.0,7.63140590720468e-08,6.05563708444383e-14,5.243374077344666e-15,0.05214311555027962,0.0,3.323846087255333e-08,0.0
frontal operculum,9.301779485548778e-11,4.266275882720947,3.2534894943237305,0.3563897907733917,0.2088698148727417,1.9651175218321493e-12,3.9400275576861876e-13,4.8754448890686035,3.092339277267456,1.698263168334961,6.072356700897217,1.543827772140503,5.564043045043945,6.093197345733643,9.171770095825195,1.2560304403305054,7.460043907165527,1.8105926513671875,11.87895393371582,7.028085231781006,4.182336330413818,9.75465202331543,2.8270866870880127,7.508901035180315e-05,4.608979225158691,2.3600027561187744,5.320218563079834,1.7543267176733934e-06,5.968546390533447,1.3618169703022431e-07
frontal pole,2.4023029804229736,0.006625779438763857,3.0230956077575684,1.813720174048683e-09,0.9653365015983582,4.279308795928955,6.310191631317139,3.8670125007629395,8.612416322001026e-21,0.0018441745778545737,3.881178379058838,9.907816274790093e-05,5.008423805236816,1.0387440919876099,0.007497942540794611,1.8945884704589844,5.6848649052088085e-12,2.0953714847564697,4.98467493057251,2.716092824935913,2.034669876098633,0.004302141722291708,6.031376361846924,1.9843358993530273,9.206559958840899e-09,1.6263051350051683e-08,1.5413167409050743e-09,6.489547252655029,0.0014231731183826923,6.927737026605665e-25
fusiform gyrus,0.0001948255521710962,1.3863738775253296,5.582892417907715,5.3476362228393555,7.604214191436768,3.428627382007221e-10,0.022778406739234924,5.393442153930664,6.837955474853516,6.917970657348633,0.7760030627250671,2.1174569129943848,2.776024103164673,4.6046671867370605,9.49328327178955,10.017036437988281,5.915990352630615,9.603728294372559,6.490446090698242,4.6734418869018555,4.636545181274414,11.142712593078613,0.5786935091018677,6.837541945969861e-07,5.921665668487549,3.081763982772827,0.13382720947265625,4.162111759185791,1.177100658416748,8.056955337524414
globus pallidus,0.012290095910429955,1.32059885249447e-09,2.661844491958618,1.3977072642377972e-17,2.1221721172332764,7.276174545288086,4.913588980137717e-10,0.005860179662704468,1.226148247718811,0.05768691375851631,5.115607261657715,5.260168109089136e-05,0.19598382711410522,5.765353202819824,0.05214690789580345,6.6443257331848145,9.26523208618164,0.0017546415328979492,5.043145656585693,0.013214165344834328,0.48481428623199463,4.371599789010361e-05,20.797706604003906,4.98665394843556e-06,4.803834144695429e-06,7.114854270184878e-06,7.549323558807373,4.6466749892282166e-10,7.199792406709093e-08,2.162038992281623e-09
gyrus rectus,7.408994197845459,3.1913983821868896,4.747813701629639,2.0431529801356874e-09,5.7195048332214355,8.65117359161377,9.572505950927734,3.619781732559204,3.0534315555996727e-06,0.0375014990568161,5.209389686584473,4.5737866116724035e-07,3.526353359222412,0.06939612329006195,0.002783884759992361,5.693984031677246,0.7247668504714966,2.4207682609558105,5.651176452636719,0.33907368779182434,5.216739177703857,0.00018972223915625364,27.47136878967285,0.0017047045985236764,8.626371839071112e-10,0.010833201929926872,0.6980258822441101,6.489547252655029,0.00019645027350634336,3.8482563489983246e-12
hippocampus,2.393572060555016e-07,2.8868576908321064e-14,8.031549453735352,9.481954818083105e-19,8.24512004852295,7.215890462930474e-08,6.087940216064453,9.611383438110352,0.00019877281738445163,12.74207878112793,0.002118724398314953,8.908630115911365e-05,0.001219952362589538,1.7393918824382126e-05,0.00015453978267032653,11.526780128479004,0.00019549908756744117,7.9973249435424805,0.013049245811998844,3.751696219314593e-13,6.071560859680176,0.0003183984663337469,1.8368988037109375,4.376763172331266e-05,0.00028510845731943846,2.634915836097207e-05,0.00047957978677004576,0.0012081448221579194,2.7282096720648852e-11,0.0027042420115321875
inferior frontal gyrus,0.0019921213388442993,6.161228656768799,3.8530194759368896,3.976365804672241,1.9991278648376465,3.6495680809020996,0.00036985811311751604,0.019570201635360718,7.524192113805839e-08,0.8080453872680664,4.3623576164245605,3.6606595516204834,0.0036973534151911736,1.0161678791046143,12.971409797668457,4.5988054275512695,0.0009660195210017264,4.978759288787842,8.414661407470703,2.0405306816101074,1.116734504699707,8.797673225402832,4.351974964141846,0.013929816894233227,4.779819488525391,0.41180646419525146,4.79634952545166,0.012800280936062336,1.4120527505874634,3.2799223376310675e-22
inferior temporal gyrus,0.003207098226994276,6.025230884552002,0.4160882532596588,0.15178608894348145,1.9013233184814453,0.0008475384092889726,9.541439056396484,1.19933021068573,5.898760795593262,13.382554054260254,0.0001386746298521757,2.3901078701019287,4.644685745239258,4.6046671867370605,13.352150917053223,4.353216648101807,4.236577987670898,2.6579768657684326,3.7899606227874756,4.7733588218688965,0.03391541540622711,15.0330810546875,1.0737509910541121e-05,0.03863225504755974,4.988180637359619,0.00014773903239984065,4.259276664697609e-08,8.400289535522461,0.009217151440680027,7.156653881072998
